beta,rho,time_seconds
0.0,0.0,0.07886100500036264
0.01,0.0,0.0954039000002922
0.02,0.0,0.11398439699996743
0.03,0.0,0.14311855999994805
0.04,0.0,0.18963255000016943
0.05,0.0,0.2815876810000191
0.06,0.0,0.6068472580000162
0.07,0.03759030000000002,9.380755500000305
0.08,0.14907060000000003,20.565986324000278
0.09,0.21710469999999998,24.892145476999758
0.1,0.2733290000000001,26.77216610100004
0.11,0.31884179999999995,27.196977522999987
0.12,0.3588582,27.438017297999977
0.13,0.39248799999999995,27.925474843000302
0.14,0.42167629999999995,28.16708292600015
0.15,0.44628540000000017,28.27748760300028
0.16,0.4685203,28.213686683000105
0.17,0.4883250999999998,28.194210159999784
0.18,0.5056827000000003,28.082443166999838
0.19,0.5212369000000001,28.162448251000114
0.2,0.5352319999999999,28.032757488999778
0.21,0.5476204999999998,28.067387087000043
0.22,0.5588928000000001,27.987516332999803
0.23,0.5694434000000003,27.866678789999696
0.24,0.5788561000000001,27.612339086999782
0.25,0.5877259000000001,27.784347428999354
0.26,0.5956052,27.60490488100004
0.27,0.602797,27.524258643000394
0.28,0.6098084999999999,27.500407430999985
0.29,0.6159344,27.47795890999987
0.3,0.6216197999999998,27.540743823999946
