beta,rho,time_seconds
0.000000,0.000000,0.024027
0.010000,0.000000,0.056583
0.020000,0.001524,0.751572
0.030000,0.142059,3.955295
0.040000,0.243836,5.040495
0.050000,0.325707,5.767023
0.060000,0.391101,6.024619
0.070000,0.446932,6.192905
0.080000,0.491597,6.409009
0.090000,0.529664,6.366210
0.100000,0.560501,6.356165
0.110000,0.587741,6.288562
0.120000,0.609701,6.344244
0.130000,0.629716,6.252315
0.140000,0.646966,6.184633
0.150000,0.662474,6.181319
0.160000,0.675564,6.187232
0.170000,0.687804,6.193688
0.180000,0.697935,6.088692
0.190000,0.708244,6.087484
0.200000,0.717298,6.067950
0.210000,0.724801,6.012628
0.220000,0.732665,5.940470
0.230000,0.738868,5.891726
0.240000,0.745386,5.887395
0.250000,0.750812,5.789205
0.260000,0.755910,5.750821
0.270000,0.760744,5.716881
0.280000,0.765434,5.600548
0.290000,0.769289,5.554688
0.300000,0.773007,5.430759
