beta,rho_mmca,rho_qmf,beta_c
0.0,1.4436894101951217e-10,0.0,0.055725146114982374
0.01,4.73392908619634e-11,2.2284655138522884e-12,0.055725146114982374
0.02,8.138103516595283e-11,6.167609139218019e-12,0.055725146114982374
0.03,1.2473758951241737e-10,2.6291704990220802e-11,0.055725146114982374
0.04,2.20483824808608e-10,6.947814354672427e-11,0.055725146114982374
0.05,6.908803383685826e-10,2.3934560696817977e-10,0.055725146114982374
0.06,0.040873438763624134,0.04793338201729318,0.055725146114982374
0.07,0.1257228921808098,0.14760242100150817,0.055725146114982374
0.08,0.19562899373739195,0.22993102978444852,0.055725146114982374
0.09,0.25335382392833533,0.29811885180051456,0.055725146114982374
0.1,0.30154349995223456,0.3552402742852269,0.055725146114982374
0.11,0.34225755558583176,0.4036888618475033,0.055725146114982374
0.12,0.3770444738574145,0.44526384874636815,0.055725146114982374
0.13,0.4070688894457306,0.4813179276572818,0.055725146114982374
0.14,0.43321586806018547,0.5128785890777036,0.055725146114982374
0.15,0.4561669880164996,0.5407366757065313,0.055725146114982374
0.16,0.4764543360085793,0.5655092291137155,0.055725146114982374
0.17,0.49449877895301436,0.5876840273388274,0.055725146114982374
0.18,0.5106373160376949,0.6076514082574138,0.055725146114982374
0.19,0.5251428600871074,0.6257272791300977,0.055725146114982374
0.2,0.5382387312194961,0.6421699713469272,0.055725146114982374
0.21,0.5501094160892465,0.6571927492710629,0.055725146114982374
0.22,0.5609086566138044,0.6709732119391727,0.055725146114982374
0.23,0.5707656044815785,0.6836604447876293,0.055725146114982374
0.24,0.5797895571150975,0.6953805216086562,0.055725146114982374
0.25,0.5880736407257768,0.7062407822319788,0.055725146114982374
0.26,0.595697702909279,0.7163331912799952,0.055725146114982374
0.27,0.6027306054074201,0.7257369997414508,0.055725146114982374
0.28,0.609232057079447,0.7345208722361053,0.055725146114982374
0.29,0.6152540910728009,0.7427446008886668,0.055725146114982374
0.3,0.6208422642093242,0.7504604965147907,0.055725146114982374
