beta,rho,time_seconds
0.0,0.0,0.7298172179998801
0.01,0.0,0.8084222649995354
0.02,0.0,0.9136903349999557
0.03,0.0,1.0382526570001573
0.04,0.0,1.216489790000196
0.05,0.0,1.391416346999904
0.06,0.0,1.7486373780002396
0.07,0.0,2.235593049000272
0.08,0.0,3.183897752000121
0.09,0.0,5.710323766999863
0.1,0.003222199999999999,28.25352041499991
0.11,0.09353239999999997,130.74110735799968
0.12,0.14587709999999998,178.61262459199952
0.13,0.19249419999999998,210.68130738200034
0.14,0.2304855000000001,233.78886485799922
0.15,0.2654416,247.2700882499994
0.16,0.2959161,255.1602041490005
0.17,0.3243967,259.8346644209996
0.18,0.34805369999999997,262.5975558279988
0.19,0.3711749000000002,263.47818848099996
0.2,0.3918179000000002,263.03956562799976
0.21,0.40986959999999995,261.4259396460002
0.22,0.4269588000000001,259.5095460699995
0.23,0.4418834000000001,256.8030473210001
0.24,0.45595210000000014,253.51454294799987
0.25,0.4691689999999999,250.34467633500026
0.26,0.48145449999999995,247.51903899099852
0.27,0.4923007999999999,244.17274795999947
0.28,0.5028631000000001,240.80727666799976
0.29,0.5121770000000001,237.1953913890011
0.3,0.5217713999999998,233.82209425699875
