beta,rho,time_seconds
0.0,0.0,1.4659171319981397
0.01,0.0,1.9195053729999927
0.02,0.0,3.4592195290024392
0.03,0.009291299999999999,35.03379236299952
0.04,0.10525509999999995,124.09187150599973
0.05,0.1720429,166.64264480100246
0.06,0.2320273,195.43451849199846
0.07,0.2888855000000001,212.27527318400098
0.08,0.33702960000000004,220.5864094690005
0.09,0.382509,223.5081537599981
0.1,0.4198131,222.51380580600016
0.11,0.4525792000000002,219.65784723800243
0.12,0.4824316000000001,215.52710777899847
0.13,0.5082651999999996,210.95118340800036
0.14,0.5311082999999998,205.96922577900114
0.15,0.5526752999999998,201.01328326599833
0.16,0.5707777000000002,195.54384468900025
0.17,0.5876702999999999,190.7376908510014
0.18,0.6033459999999998,185.91614537799978
0.19,0.6165098999999997,181.45443486300064
0.2,0.6293329000000001,177.08018223600084
0.21,0.6411997,172.99736670600032
0.22,0.6525027,169.12763418100076
0.23,0.6614087,165.4387676610022
0.24,0.6710244999999998,161.99355084700073
0.25,0.6791954000000004,158.83789721599896
0.26,0.6870594999999998,155.70712771599938
0.27,0.6945014999999999,152.82269381899823
0.28,0.7011295999999999,150.09903079300057
0.29,0.7072583,147.5114242999989
0.3,0.7135411999999998,144.96270256999924
