beta,rho_mmca,rho_qmf,beta_c
0.0,1.4436894101951217e-10,0.0,0.03695866887674022
0.01,9.019585352878795e-12,1.4856236847650517e-12,0.03695866887674022
0.02,1.7026570604357632e-11,4.010953181607776e-12,0.03695866887674022
0.03,5.021920499509249e-11,1.788718266535881e-11,0.03695866887674022
0.04,0.006399536582925741,0.007564239569352098,0.03695866887674022
0.05,0.030458047138333503,0.03603988223365219,0.03695866887674022
0.06,0.05884358496374212,0.0696693718775391,0.03695866887674022
0.07,0.09013037662536065,0.10673542527787061,0.03695866887674022
0.08,0.1226980882456122,0.14529754255478042,0.03695866887674022
0.09,0.1552125231105122,0.18376693671263916,0.03695866887674022
0.1,0.18675005836823722,0.2210520589139748,0.03695866887674022
0.11,0.21676860792404476,0.25651825407455553,0.03695866887674022
0.12,0.24500779463719893,0.28986538312157234,0.03695866887674022
0.13,0.27138855880316104,0.3210072690845083,0.03695866887674022
0.14,0.29593843041487605,0.349982800321906,0.03695866887674022
0.15,0.31874259444714026,0.37689800766638065,0.03695866887674022
0.16,0.3399138756981463,0.4018906405983888,0.03695866887674022
0.17,0.35957510770590345,0.42510940677910525,0.03695866887674022
0.18,0.37784918656800964,0.4467022987585608,0.03695866887674022
0.19,0.39485375027546443,0.46681039247281514,0.03695866887674022
0.2,0.41069858241565044,0.4855648715697525,0.03695866887674022
0.21,0.4254845880673879,0.5030859127861792,0.03695866887674022
0.22,0.43930365391490206,0.5194826142330915,0.03695866887674022
0.23,0.4522389856963681,0.5348534809375174,0.03695866887674022
0.24,0.4643656845341689,0.5492871826090875,0.03695866887674022
0.25,0.47575142390221503,0.5628634187061967,0.03695866887674022
0.26,0.4864571486553458,0.5756537979570183,0.03695866887674022
0.27,0.49653775290577795,0.587722682082747,0.03695866887674022
0.28,0.5060427144923075,0.5991279688935304,0.03695866887674022
0.29,0.5150166760943827,0.6099218044633978,0.03695866887674022
0.3,0.5234999701859537,0.6201512226076407,0.03695866887674022
