beta,rho,time_seconds
0.0,0.0,0.15213819200016587
0.01,0.0,0.21563071899981878
0.02,0.0,0.35731645199984996
0.03,0.0,0.9612283420001404
0.04,0.14270970000000005,19.457655929999873
0.05,0.2830454,25.98706225299975
0.06,0.37801520000000016,26.442610310999953
0.07,0.4472751000000001,27.10948537100012
0.08,0.50085,27.132092278000073
0.09,0.5420851,26.793822205000197
0.1,0.5771472000000002,26.19782977800014
0.11,0.6052043999999998,25.998992045999785
0.12,0.6292042,25.829060264999953
0.13,0.6490139999999998,25.415831820999756
0.14,0.6660626000000002,24.97751573300002
0.15,0.6813458,24.592261855000288
0.16,0.6942283,24.255867438999758
0.17,0.7058054999999996,23.961974686000303
0.18,0.7161774000000001,23.763906233999933
0.19,0.7247142999999998,23.579303727000024
0.2,0.7330193999999994,23.408146158999898
0.21,0.7405342999999999,23.239835652000238
0.22,0.7469819000000001,23.150669110000308
0.23,0.7526992000000001,22.964494652999747
0.24,0.7583619000000005,22.84810573599998
0.25,0.7634321,22.74073816100008
0.26,0.7679950000000001,22.584898300999612
0.27,0.7726497000000003,22.562738151999838
0.28,0.7760611000000003,22.487791422999635
0.29,0.7793710000000001,22.375107986999865
0.3,0.7830688000000003,22.39799782
