beta,rho,time_seconds
0.0,0.0,0.0743544529996143
0.01,0.0,0.10215615400011302
0.02,0.0,0.15022597900042456
0.03,0.0,0.331880194000405
0.04,0.00018909999999999985,2.5014766659996894
0.05,0.08613620000000001,17.922626290000153
0.06,0.13644430000000002,21.758643835999464
0.07,0.18357959999999998,24.035036579000007
0.08,0.22799900000000003,25.87641956599964
0.09,0.26904149999999993,26.935635559999355
0.1,0.3037843,26.876471142999435
0.11,0.33612480000000006,26.90097878599954
0.12,0.36466249999999983,26.950448994999533
0.13,0.3915203000000001,27.148471582999264
0.14,0.4151888000000001,27.13043387000016
0.15,0.4354691999999998,27.077241416000106
0.16,0.45499549999999983,26.967031044000578
0.17,0.4722846000000001,26.785241382000095
0.18,0.4878865999999998,26.73358794700016
0.19,0.5024578,26.816883909999888
0.2,0.5159953000000002,26.758668417999615
0.21,0.5281702,26.762444037000023
0.22,0.5395864999999997,26.664893416999803
0.23,0.5496251999999998,26.69657815299979
0.24,0.5593218,26.551030413999797
0.25,0.5686477000000001,26.522372381999958
0.26,0.5760706,26.322867349000262
0.27,0.5839361000000001,26.381845482000244
0.28,0.5915606,26.234495232999507
0.29,0.5980243999999998,26.258181338000213
0.3,0.6039595999999999,26.34309408900026
