beta,rho_mmca,rho_qmf,beta_c
0.0,3.8853377844514776e-10,0.0,0.014047784958588995
0.01,7.930065484823356e-11,1.1050482579832591e-11,0.014047784958588995
0.02,0.054454620979869334,0.0595211074741296,0.014047784958588995
0.03,0.16402898204762545,0.17924164566574322,0.014047784958588995
0.04,0.26364890180431205,0.28803671661679064,0.014047784958588995
0.05,0.34465967001202524,0.3765188342847344,0.014047784958588995
0.06,0.40936147641989407,0.4472351464415667,0.014047784958588995
0.07,0.4614514281801433,0.504230656288317,0.014047784958588995
0.08,0.5039972339203299,0.5508530007332022,0.014047784958588995
0.09,0.5392731853306909,0.5895810018178778,0.014047784958588995
0.1,0.5689302324803268,0.622212619097895,0.014047784958588995
0.11,0.594173290375126,0.6500590670897841,0.014047784958588995
0.12,0.6158939914444395,0.6740898708941866,0.014047784958588995
0.13,0.6347628571070502,0.6950335325770498,0.014047784958588995
0.14,0.6512923062349991,0.713446330705372,0.014047784958588995
0.15,0.6658799332124847,0.7297595578521252,0.014047784958588995
0.16,0.6788386030216177,0.7443123493741622,0.014047784958588995
0.17,0.6904176944238837,0.7573748390877594,0.014047784958588995
0.18,0.7008183288801871,0.7691647462468036,0.014047784958588995
0.19,0.7102044540563424,0.7798594383250654,0.014047784958588995
0.2,0.7187110269433868,0.7896048310754338,0.014047784958588995
0.21,0.7264501374380966,0.7985220446461203,0.014047784958588995
0.22,0.7335156486620055,0.8067124448140762,0.014047784958588995
0.23,0.7399867545706654,0.8142615062928478,0.014047784958588995
0.24,0.7459307372960925,0.821241805800664,0.014047784958588995
0.25,0.7514051258805414,0.8277153645502984,0.014047784958588995
0.26,0.7564594023469777,0.8337354988921963,0.014047784958588995
0.27,0.761136361857406,0.8393482952770421,0.014047784958588995
0.28,0.7654732059956554,0.8445937954157172,0.014047784958588995
0.29,0.7695024282695666,0.8495069558691211,0.014047784958588995
0.3,0.7732525364648398,0.8541184305630987,0.014047784958588995
