beta,rho,time_seconds
0.000000,0.000000,0.017945
0.010000,0.000000,0.031113
0.020000,0.000000,0.068540
0.030000,0.005213,0.681698
0.040000,0.106218,2.684050
0.050000,0.171981,3.366085
0.060000,0.235549,4.023217
0.070000,0.291570,4.533718
0.080000,0.341495,4.851611
0.090000,0.385263,4.986163
0.100000,0.423621,5.156032
0.110000,0.457173,5.190297
0.120000,0.487046,5.310103
0.130000,0.513643,5.407015
0.140000,0.537508,5.408863
0.150000,0.557731,5.431366
0.160000,0.576783,5.467363
0.170000,0.593553,5.399640
0.180000,0.608899,5.436680
0.190000,0.623574,5.473693
0.200000,0.635915,5.610735
0.210000,0.647711,5.508306
0.220000,0.658871,5.607568
0.230000,0.668788,5.542476
0.240000,0.677495,5.378644
0.250000,0.685916,5.436774
0.260000,0.694183,5.631011
0.270000,0.701229,5.501911
0.280000,0.708449,5.269577
0.290000,0.714905,5.369057
0.300000,0.720500,5.266376
