beta,rho,time_seconds
0.0,0.0,2.0949368479996338
0.01,0.0,2.8925288039990846
0.02,0.0,4.75939579199985
0.03,0.0,12.927063023998926
0.04,0.14195420000000009,246.39209441800085
0.05,0.27833140000000006,361.1108074420008
0.06,0.3732176000000002,388.8626998180007
0.07,0.4434376999999998,384.63775797199924
0.08,0.4967897,370.3244336500011
0.09,0.5376183999999999,351.6263314940006
0.1,0.570713,333.11321434099955
0.11,0.5985232999999998,315.55001675400126
0.12,0.6222699,298.8517940990005
0.13,0.6426582999999999,283.7217572159989
0.14,0.6595429999999998,270.280360019
0.15,0.6746330000000001,257.8845384160013
0.16,0.6870258000000001,247.02777982099906
0.17,0.6990847000000001,236.70924831900084
0.18,0.7089687999999998,227.65344155999992
0.19,0.7171467,219.43671790900044
0.2,0.7255183,211.8778624330007
0.21,0.7328958999999999,205.3565883170013
0.22,0.7394255999999997,199.05140442099946
0.23,0.7453945000000003,193.11779338900305
0.24,0.7508456000000002,187.82508154300012
0.25,0.7557129000000004,182.81471818700084
0.26,0.7604171000000001,178.15068285099915
0.27,0.7643703000000002,174.07961683599933
0.28,0.7682862000000003,170.08908401099688
0.29,0.7716138000000001,166.33560591200148
0.3,0.7748876999999998,162.86332138799844
