beta,rho,time_seconds
0.000000,0.000000,0.010751
0.010000,0.000000,0.013879
0.020000,0.000000,0.017729
0.030000,0.000000,0.024632
0.040000,0.000000,0.038898
0.050000,0.000000,0.094766
0.060000,0.006058,0.791541
0.070000,0.071542,2.348186
0.080000,0.103490,2.840752
0.090000,0.135275,3.311524
0.100000,0.166653,3.718511
0.110000,0.196175,4.126937
0.120000,0.225415,4.489990
0.130000,0.252101,4.808113
0.140000,0.278072,5.100684
0.150000,0.302177,5.398859
0.160000,0.323807,5.588415
0.170000,0.344160,5.678374
0.180000,0.364001,5.579719
0.190000,0.382802,5.799162
0.200000,0.399533,5.899088
0.210000,0.414777,6.020632
0.220000,0.430728,6.063153
0.230000,0.444425,6.191621
0.240000,0.457435,6.278928
0.250000,0.469502,6.368772
0.260000,0.481147,6.375564
0.270000,0.491956,6.453851
0.280000,0.501929,6.502168
0.290000,0.511451,6.556898
0.300000,0.521280,6.545109
