beta,rho_mmca,rho_qmf,beta_c
0.0,3.8853377844514776e-10,0.0,0.01847933443837011
0.01,3.92807698416299e-11,4.010953181607776e-12,0.01847933443837011
0.02,0.006935523449126393,0.007564239569352098,0.01847933443837011
0.03,0.06393584619039634,0.0696693718775391,0.01847933443837011
0.04,0.13348103905499162,0.14529754255478042,0.01847933443837011
0.05,0.20326642986243615,0.2210520589139748,0.01847933443837011
0.06,0.2667401251336815,0.28986538312157234,0.01847933443837011
0.07,0.3222385913599271,0.349982800321906,0.01847933443837011
0.08,0.37018004414395395,0.4018906405983888,0.01847933443837011
0.09,0.4115743312662488,0.4467022987585608,0.01847933443837011
0.1,0.4474703767053178,0.4855648715697525,0.01847933443837011
0.11,0.4787897113654422,0.5194826142330915,0.01847933443837011
0.12,0.5062970362391954,0.5492871826090875,0.01847933443837011
0.13,0.5306141097679548,0.5756537979570183,0.01847933443837011
0.14,0.5522438611991174,0.5991279688935304,0.01847933443837011
0.15,0.5715938235291129,0.6201512226076407,0.01847933443837011
0.16,0.5889958952921188,0.6390827323161591,0.01847933443837011
0.17,0.6047221424692388,0.6562165857183873,0.01847933443837011
0.18,0.6189971676079729,0.6717952910019471,0.01847933443837011
0.19,0.6320077233080197,0.6860202669631175,0.01847933443837011
0.2,0.6439101834357049,0.6990599895490605,0.01847933443837011
0.21,0.6548363700191943,0.7110563401010147,0.01847933443837011
0.22,0.6648981224909613,0.7221295785016957,0.01847933443837011
0.23,0.6741909035074968,0.7323822636164985,0.01847933443837011
0.24,0.6827966637467766,0.7419023646112546,0.01847933443837011
0.25,0.6907861335551803,0.7507657470480584,0.01847933443837011
0.26,0.6982206685630447,0.7590381729354664,0.01847933443837011
0.27,0.7051537458323269,0.7667769204313887,0.01847933443837011
0.28,0.7116321844862172,0.7740321039374815,0.01847933443837011
0.29,0.7176971475851891,0.7808477566814406,0.01847933443837011
0.3,0.7233849693070687,0.7872627237366762,0.01847933443837011
