beta,rho_mmca,rho_qmf,beta_c
0.0,3.8853377844514776e-10,0.0,0.027862573057491187
0.01,1.9150564091471835e-10,6.167609139218019e-12,0.027862573057491187
0.02,4.988860276625043e-10,6.947814354672427e-11,0.027862573057491187
0.03,0.04413164804070901,0.04793338201729318,0.027862573057491187
0.04,0.21161885442331727,0.22993102978444852,0.027862573057491187
0.05,0.32679978242351704,0.3552402742852269,0.027862573057491187
0.06,0.40939896716889607,0.44526384874636815,0.027862573057491187
0.07,0.4712912347356307,0.5128785890777036,0.027862573057491187
0.08,0.5193279100548465,0.5655092291137155,0.027862573057491187
0.09,0.5576598955568804,0.6076514082574138,0.027862573057491187
0.1,0.588933845623438,0.6421699713469272,0.027862573057491187
0.11,0.6149136820087152,0.6709732119391727,0.027862573057491187
0.12,0.636819637808455,0.6953805216086562,0.027862573057491187
0.13,0.6555227331902453,0.7163331912799952,0.027862573057491187
0.14,0.6716614849686883,0.7345208722361053,0.027862573057491187
0.15,0.6857147663240318,0.7504604965147907,0.027862573057491187
0.16,0.698048877877882,0.7645472470212101,0.027862573057491187
0.17,0.7089488794935782,0.7770884742522118,0.027862573057491187
0.18,0.718639998042453,0.7883268635175774,0.027862573057491187
0.19,0.7273025954856335,0.7984566287604387,0.027862573057491187
0.2,0.7350833500711136,0.807635165946864,0.027862573057491187
0.21,0.742195759942094,0.8160861858774573,0.027862573057491187
0.22,0.7486365014365209,0.8238125420687264,0.027862573057491187
0.23,0.7544888935293036,0.830904038359273,0.027862573057491187
0.24,0.7598234495711119,0.837436246366077,0.027862573057491187
0.25,0.7646999290847937,0.8434731589075299,0.027862573057491187
0.26,0.7691693220675384,0.849069331089012,0.027862573057491187
0.27,0.7732754082458554,0.854271562441148,0.027862573057491187
0.28,0.7770559939879984,0.8591202310575586,0.027862573057491187
0.29,0.7805439021434067,0.8636503610266402,0.027862573057491187
0.3,0.7837677706218351,0.8678924834300321,0.027862573057491187
