beta,rho,time_seconds
0.000000,0.000000,0.013932
0.010000,0.000000,0.017098
0.020000,0.000000,0.020335
0.030000,0.000000,0.025145
0.040000,0.000000,0.034242
0.050000,0.000000,0.049448
0.060000,0.000000,0.101527
0.070000,0.038044,1.678601
0.080000,0.148981,3.773266
0.090000,0.216595,4.885857
0.100000,0.272008,5.692880
0.110000,0.320193,6.292090
0.120000,0.358800,6.545289
0.130000,0.392751,6.781447
0.140000,0.421123,7.027775
0.150000,0.446763,7.188240
0.160000,0.468628,7.320448
0.170000,0.488486,7.418683
0.180000,0.505753,7.522090
0.190000,0.520949,7.496741
0.200000,0.535494,7.505823
0.210000,0.547828,7.539993
0.220000,0.558921,7.505640
0.230000,0.569833,7.521802
0.240000,0.578879,7.507368
0.250000,0.587641,7.448153
0.260000,0.595549,7.437112
0.270000,0.602893,7.363735
0.280000,0.609556,7.331630
0.290000,0.616068,7.285314
0.300000,0.621422,7.270566
