beta,rho,time_seconds
0.000000,0.000000,0.010681
0.010000,0.000000,0.012557
0.020000,0.000000,0.014624
0.030000,0.000000,0.015807
0.040000,0.000000,0.018668
0.050000,0.000000,0.021781
0.060000,0.000000,0.026863
0.070000,0.000000,0.033413
0.080000,0.000000,0.047319
0.090000,0.000000,0.084719
0.100000,0.001840,0.404726
0.110000,0.095498,2.176647
0.120000,0.147484,3.045642
0.130000,0.194404,3.661925
0.140000,0.235184,4.182166
0.150000,0.268227,4.666356
0.160000,0.300068,5.071173
0.170000,0.327668,5.384045
0.180000,0.351958,5.524391
0.190000,0.373616,5.606342
0.200000,0.394967,5.761885
0.210000,0.413789,5.898977
0.220000,0.430974,6.022983
0.230000,0.446646,6.120404
0.240000,0.460476,6.183076
0.250000,0.474143,6.209684
0.260000,0.486017,6.312454
0.270000,0.497329,6.341736
0.280000,0.508126,6.346635
0.290000,0.517505,6.390967
0.300000,0.526952,6.413830
