beta,rho,time_seconds
0.0,0.0,1.03890463100106
0.01,0.0,1.210876711003948
0.02,0.0,1.6459727939945878
0.03,0.0,2.8662882600037847
0.04,0.0010720999999999997,24.430129706001026
0.05,0.08508750000000002,156.84829343500314
0.06,0.13448659999999998,211.83004470099695
0.07,0.1821586,253.14332567699603
0.08,0.22584820000000008,278.4222979840051
0.09,0.26522840000000003,295.2756606969997
0.1,0.30091510000000005,305.4490994689986
0.11,0.3326458000000001,310.2850862949999
0.12,0.3618108999999999,311.7833572200034
0.13,0.38813960000000014,310.9943969829983
0.14,0.41017010000000026,308.38120539000374
0.15,0.43151199999999995,305.38143595099973
0.16,0.45038619999999985,301.26030199399975
0.17,0.46759110000000015,296.6131756100003
0.18,0.48313260000000013,291.89150473399786
0.19,0.4975785,286.30151679100527
0.2,0.5105321000000003,280.91442601900053
0.21,0.5228806,275.955940783002
0.22,0.5338037999999999,270.71874142800516
0.23,0.5440392000000001,266.0466053689961
0.24,0.5539445999999999,261.6043554079952
0.25,0.5626236000000001,256.805498147005
0.26,0.5704756000000002,252.80725557499682
0.27,0.5781177000000004,248.76294632599456
0.28,0.5852470000000003,244.7478424180008
0.29,0.5919382,241.1057026319977
0.3,0.5977925999999997,237.5679562430014
