beta,rho_mmca,rho_qmf,beta_c
0.0,3.8853377844514776e-10,0.0,0.03836489253329387
0.01,1.1286639597876523e-10,2.170327079239539e-12,0.03836489253329387
0.02,1.5609346901656156e-10,1.2994893113365183e-11,0.03836489253329387
0.03,3.8484952108119475e-10,5.267895664010842e-11,0.03836489253329387
0.04,0.01938574492657483,0.0209513822184156,0.03836489253329387
0.05,0.13399871565256843,0.14478838245711212,0.03836489253329387
0.06,0.22697472397994256,0.24523252868103307,0.03836489253329387
0.07,0.3006285182969567,0.3248200912119296,0.03836489253329387
0.08,0.3598555586692972,0.38885315376226787,0.03836489253329387
0.09,0.40836935254584733,0.4413472867120317,0.03836489253329387
0.1,0.4487874417522558,0.4851300993377295,0.03836489253329387
0.11,0.482960410004819,0.5221990428630293,0.03836489253329387
0.12,0.5122209437487548,0.5539914989411666,0.03836489253329387
0.13,0.5375492435604283,0.5815639285741634,0.03836489253329387
0.14,0.5596810718898689,0.6057087953705997,0.03836489253329387
0.15,0.5791790988516661,0.627031722174622,0.03836489253329387
0.16,0.5964808936048168,0.646003363793893,0.03836489253329387
0.17,0.6119318693700173,0.6629950004577692,0.03836489253329387
0.18,0.625808359493929,0.6783034587577679,0.03836489253329387
0.19,0.6383340926860902,0.6921688969571983,0.03836489253329387
0.2,0.6496926652041123,0.704787824480044,0.03836489253329387
0.21,0.6601291239748873,0.7164173781224057,0.03836489253329387
0.22,0.6696672174798955,0.727089095634389,0.03836489253329387
0.23,0.6784135946784504,0.7369175014675265,0.03836489253329387
0.24,0.6864589603525892,0.7459995635457607,0.03836489253329387
0.25,0.6938806233477701,0.7544178723013164,0.03836489253329387
0.26,0.7007448900269285,0.7622432147651537,0.03836489253329387
0.27,0.7071089617009246,0.769536614438975,0.03836489253329387
0.28,0.713022451993124,0.7763509619817982,0.03836489253329387
0.29,0.718528610112786,0.7827323293825821,0.03836489253329387
0.3,0.7236653144764141,0.7887210370564507,0.03836489253329387
