beta,rho,time_seconds
0.000000,0.000000,0.025603
0.010000,0.000000,0.037368
0.020000,0.000000,0.061376
0.030000,0.000000,0.166840
0.040000,0.145085,3.368982
0.050000,0.283166,5.106119
0.060000,0.376575,5.835040
0.070000,0.448099,6.214444
0.080000,0.499708,6.326160
0.090000,0.543457,6.341569
0.100000,0.577336,6.362116
0.110000,0.605392,6.357745
0.120000,0.629032,6.266797
0.130000,0.649076,6.241866
0.140000,0.665651,6.257678
0.150000,0.681316,6.198257
0.160000,0.694364,6.149435
0.170000,0.705661,6.080597
0.180000,0.715567,6.040714
0.190000,0.724989,5.964590
0.200000,0.732892,5.881528
0.210000,0.740755,5.857749
0.220000,0.747004,5.794771
0.230000,0.752909,5.749957
0.240000,0.758326,5.671731
0.250000,0.763647,5.642311
0.260000,0.768132,5.570407
0.270000,0.772255,5.506317
0.280000,0.775771,5.382941
0.290000,0.779605,5.240740
0.300000,0.782694,5.196105
