beta,rho,time_seconds
0.0,0.0,0.713394029000483
0.01,0.0,0.8081939010007773
0.02,0.0,0.9448751550007728
0.03,0.0,1.201303955000185
0.04,0.0,1.8025537860012264
0.05,0.0,3.8199196870009473
0.06,0.006179299999999999,31.506163218997244
0.07,0.0705016,96.99064768300013
0.08,0.10246620000000005,125.20308031600143
0.09,0.1344549,148.38949199800118
0.1,0.16496129999999998,167.11151830900053
0.11,0.19456700000000007,183.05926744399767
0.12,0.22268220000000005,195.63553731200227
0.13,0.24954619999999994,205.23821720200067
0.14,0.27487359999999994,212.13173953399746
0.15,0.29812699999999986,217.546044075003
0.16,0.3210459,221.06927190500573
0.17,0.3414495999999999,223.47045136999805
0.18,0.36127790000000004,224.39022288699925
0.19,0.37926170000000015,224.90068345400505
0.2,0.3956951,224.5390302779997
0.21,0.41145970000000004,224.0020629280043
0.22,0.4260540999999998,222.74393490399962
0.23,0.43966279999999985,221.36350594599935
0.24,0.45286730000000025,219.76051664799888
0.25,0.46467939999999996,217.9177225569947
0.26,0.47657499999999997,216.14648739699624
0.27,0.48656339999999987,214.20566900399717
0.28,0.49689850000000013,212.24419838200265
0.29,0.5066849000000001,210.0841423009988
0.3,0.5158976000000002,208.09095979300037
