beta,rho,time_seconds
0.0,0.0,1.5508584840004005
0.01,0.0,1.9106583249999858
0.02,0.0,2.464415508000002
0.03,0.0,3.434831574999862
0.04,0.0,5.951054147999912
0.05,0.00036739999999999955,23.736813781000365
0.06,0.13473749999999998,166.4342152219997
0.07,0.22701980000000005,227.6236423309997
0.08,0.3004134,255.36780684799987
0.09,0.3577455999999999,267.3895385849996
0.1,0.4062357999999998,266.06531566500007
0.11,0.44596670000000005,261.51101803200027
0.12,0.47915020000000014,254.81449034000025
0.13,0.5082810999999999,247.48356083199997
0.14,0.5334931999999998,239.73963768199974
0.15,0.5555012000000003,231.698011124
0.16,0.5750070999999999,224.57791102699957
0.17,0.5919271999999998,217.42965114399976
0.18,0.6071805999999998,210.94872266899984
0.19,0.6205104,204.7222453479999
0.2,0.6330692000000001,198.4894770660003
0.21,0.6446058000000002,193.11238508000042
0.22,0.6540191999999999,187.83807655199962
0.23,0.6638229,182.7668942400005
0.24,0.6728115999999998,178.48069037299956
0.25,0.6800959999999999,174.10236718600027
0.26,0.6872737000000001,170.14450835699972
0.27,0.6947929999999998,164.58278699900075
0.28,0.7001700999999997,160.55489442900034
0.29,0.7062822999999997,157.38639655000043
0.3,0.7120660999999998,154.60173902899987
