beta,rho,time_seconds
0.0,0.0,1.0300938639993547
0.01,0.0,1.1913243900016823
0.02,0.0,1.4250685240003804
0.03,0.0,1.761145034997753
0.04,0.0,2.3258178680007404
0.05,0.0,3.5394048480011406
0.06,0.0,7.163000885997462
0.07,0.038129399999999994,111.92287879200012
0.08,0.14624949999999998,255.81244446799974
0.09,0.21449290000000001,323.91393808499924
0.1,0.2695421,358.30923282599906
0.11,0.3160879,374.79719906899845
0.12,0.35487039999999986,381.225510141001
0.13,0.3880448999999999,381.24795502599954
0.14,0.4170053999999998,376.77021517400135
0.15,0.4415280000000001,370.5829263600026
0.16,0.4642397,362.78433685599884
0.17,0.48399030000000004,354.64951638099956
0.18,0.5009200000000003,346.2631236149973
0.19,0.5158866000000001,337.9763640860001
0.2,0.5295142000000004,329.8662036049973
0.21,0.5421885000000002,321.90607906699734
0.22,0.5536773,313.92371698699935
0.23,0.5636709000000003,306.51509709400125
0.24,0.5731998999999998,299.5186029719989
0.25,0.5818912999999999,292.9923182429993
0.26,0.5895463000000001,286.5214285369984
0.27,0.5969262999999997,280.14133184300226
0.28,0.6036838,274.5047355829993
0.29,0.6095754999999999,269.2074880370019
0.3,0.6154708,264.15357373400184
