0.00	12	0.4477
0.00	12	0.4477
0.02	10	0.3735
0.00	12	0.4477
0.02	10	0.3735
0.00	12	0.4477
0.02	10	0.3735
0.04	10	0.3253
0.06	7	0.3060
0.08	6	0.2899
0.10	5	0.2978
0.12	5	0.3546
0.14	5	0.4023
0.16	5	0.4352
0.18	5	0.4558
0.20	5	0.4989
0.22	5	0.5240
0.24	5	0.5396
0.26	5	0.5556
0.28	5	0.5695
0.30	5	0.5796
0.32	5	0.5897
0.34	5	0.6046
0.36	5	0.6131
0.38	5	0.6209
0.40	5	0.6284
0.42	5	0.6354
0.44	5	0.6420
0.46	5	0.6477
0.48	5	0.6537
0.50	5	0.6586
0.52	5	0.6633
0.54	5	0.6679
0.56	5	0.6717
0.58	5	0.6753
0.60	5	0.6790
0.62	5	0.6822
0.64	5	0.6856
0.66	5	0.6886
0.68	5	0.6915
0.70	5	0.6940
0.72	5	0.6967
0.74	5	0.6992
0.76	5	0.7016
0.78	5	0.7038
0.80	5	0.7059
0.82	5	0.7081
0.84	5	0.7101
0.86	5	0.7118
0.88	5	0.7136
0.90	5	0.7155
0.92	5	0.7172
0.94	5	0.7187
0.96	5	0.7202
0.98	5	0.7218
1.00	5	0.7240
